brand_name,peta,leaping_bunny,parent_company,parent_status,notes
Green Bee Botanicals,TRUE,TRUE,,unknown,
Green Cure Wellness,TRUE,FALSE,,unknown,
Green Destiny Beauty,TRUE,FALSE,,unknown,
Green Forest,TRUE,FALSE,,unknown,
Green Girl Basics,FALSE,TRUE,,unknown,
Green Goo,FALSE,TRUE,,unknown,
Green Hare Mud,TRUE,FALSE,,unknown,
Green Heads Sweden,TRUE,FALSE,,unknown,
Green Keratin,TRUE,FALSE,,unknown,
Green Line USA,TRUE,FALSE,,unknown,
Green Llama,FALSE,TRUE,,unknown,
Green Olive Soaps,TRUE,FALSE,,unknown,
Green Ritual Organics,TRUE,FALSE,,unknown,
Green Works,TRUE,FALSE,Clorox,gray,Clorox parent; Burt's Bees CF status debated
Greenberry,FALSE,TRUE,,unknown,
Greenbone,FALSE,TRUE,,unknown,
Greenbone -Humane Society,FALSE,TRUE,,unknown,
Greenboss,TRUE,FALSE,,unknown,
GreenCocoon,TRUE,FALSE,,unknown,
Greendoor,TRUE,FALSE,,unknown,
Greener Clean Designs,FALSE,TRUE,,unknown,
Greenful Core Bio,TRUE,FALSE,,unknown,
GREENHEART BOTANICALS,FALSE,TRUE,,unknown,
GreenOcto,TRUE,FALSE,,unknown,
greenology,TRUE,FALSE,,unknown,
GreenTripe.Com,TRUE,FALSE,,unknown,
Gregory Dylan Skincare,TRUE,FALSE,,unknown,
Gressa Inc,FALSE,TRUE,,unknown,
Griffus Cosmetics,TRUE,FALSE,,unknown,
Grind Oral Care,TRUE,FALSE,,unknown,
Grisi,TRUE,FALSE,,unknown,
GRN &ndash; shades of nature,TRUE,FALSE,,unknown,
Grounded Sage Skincare,TRUE,TRUE,,unknown,
Grove Co,FALSE,TRUE,,unknown,
Grow Fragrance,FALSE,TRUE,,unknown,
Grow Gorgeous,TRUE,FALSE,,unknown,
Grown Alchemist,TRUE,FALSE,,unknown,
Grupo Ravara,TRUE,FALSE,,unknown,
GRWM Cosmetics,TRUE,FALSE,,unknown,
Gryme,FALSE,TRUE,,unknown,
GSS COSMETICS,TRUE,FALSE,,unknown,
Guanology,FALSE,TRUE,,unknown,
Guava Baya,TRUE,FALSE,,unknown,
Gucci Fragrances,TRUE,FALSE,Coty,bad,Coty sells in China
Guerlain,TRUE,FALSE,LVMH,bad,LVMH sells in China
Guests on Earth,FALSE,TRUE,,unknown,
Guhl,TRUE,FALSE,,unknown,
Guide Beauty,TRUE,FALSE,,unknown,
Guidotti Cosmetics,TRUE,FALSE,,unknown,
Guild+Pepper,FALSE,TRUE,,unknown,
Guiltless Skin,TRUE,FALSE,,unknown,
Guize Face FX,TRUE,FALSE,,unknown,
Güldez Cosmetics,TRUE,FALSE,,unknown,
Gulnar Handmade Soaps,TRUE,FALSE,,unknown,
Gundry MD,FALSE,TRUE,,unknown,
Gunilla of Sweden,TRUE,FALSE,,unknown,
GURUNANDA LLC,TRUE,FALSE,,unknown,
Gush Beauty,TRUE,FALSE,,unknown,
GUSSI,FALSE,TRUE,,unknown,
Gustavo Cosmetics,TRUE,FALSE,,unknown,
GUVU Cosmetics,TRUE,FALSE,,unknown,
Guy Vybe,TRUE,FALSE,,unknown,
GWA,TRUE,FALSE,Girls With Attitude,ok,
Gyada Cosmetics,TRUE,FALSE,,unknown,
Gymspell,TRUE,FALSE,,unknown,
H Salon LTD,TRUE,FALSE,,unknown,
H&M,TRUE,FALSE,,unknown,
Habit Blends,TRUE,FALSE,,unknown,
